"","Date","XIC","XFN"
"1","2001-03-30",0.0260566136414941,0.0230337778024363
"2","2001-04-02",-0.00309092765631735,-0.00380228192197185
"3","2001-04-03",-0.0198029182030508,-0.0134230059900262
"4","2001-04-04",-0.00633571823778589,-0.0155644996680355
"5","2001-04-05",0.0209645580112918,0.0136322879602866
"6","2001-04-06",-0.0125259204231265,-0.00581913728046302
"7","2001-04-09",0.0104493500482226,0
"8","2001-04-10",0.0236276533768933,0.0116050672415355
"9","2001-04-11",-0.00508981835594713,-0.0116050672415355
"10","2001-04-12",0.0101528748873316,-0.00585459987360348
"11","2001-04-16",-0.0050630565313845,0
"12","2001-04-17",0.00304093727136512,0
"13","2001-04-18",0.0377401919702747,0.0155344343262152
"14","2001-04-19",0.00486149456506091,-0.00386069717214865
"15","2001-04-20",-0.00876777881076451,-0.00193626090095189
"16","2001-04-23",-0.0128014322563572,-0.0116960270593347
"17","2001-04-24",-0.00896008519560154,-0.00392974390996192
"18","2001-04-25",0.00995012912897142,0
"19","2001-04-26",-0.000990043933369877,0.00392974390996192
"20","2001-04-27",-0.00198441907636693,-0.00196317616928043
"21","2001-04-30",-0.00697566611923461,-0.0138474124464989
"22","2001-05-01",0.00299553151910481,-0.00199449303064614
"23","2001-05-02",0.000996797758750612,0.00597047907174342
"24","2001-05-03",-0.00599392756437545,-0.00397598604109728
"25","2001-05-04",0.00599392756437545,0.0138474124464989
"26","2001-05-07",0.00198978734387478,0.00782844439581942
"27","2001-05-08",0.00594626781058638,0.00583075883279571
"28","2001-05-09",0.00394535809800733,0.00386847260870082
"29","2001-05-10",0.00686577745073658,0.0172252879119981
"30","2001-05-11",-0.00982306025032065,-0.0133715696586745
"31","2001-05-14",-0.000988075298423263,0.00383907659113869
"32","2001-05-15",0.00787411699620488,0.00382317918232999
"33","2001-05-16",0.00586530026914089,0.00570931388520579
"34","2001-05-17",0.0154743114492621,0.00567555090195437
"35","2001-05-18",0.00383091683124359,0.00188576393063844
"36","2001-05-22",0.00951476203160517,0
"37","2001-05-23",-0.00189561781088932,0.00375954888995245
"38","2001-05-24",-0.000949356910854515,0.0130471122206961
"39","2001-05-25",-0.0105007041411049,0
"40","2001-05-28",0.00478649059487646,0
"41","2001-05-29",-0.00382711704959515,-0.00743467817704935
"42","2001-05-30",-0.01545962939283,-0.00749066614625704
"43","2001-05-31",0.00775928492688815,0.018622204572841
"44","2001-06-01",0.00674097092066051,0.0146528492784848
"45","2001-06-04",0.00764814405511416,0.00181710693692216
"46","2001-06-05",0.00190296429553127,0
"47","2001-06-06",-0.00955110835064543,-0.00181710693692216
"48","2001-06-07",0,0.0126473776875744
"49","2001-06-08",-0.00480978045925706,-0.0108302707506522
"50","2001-06-11",-0.00774466346104163,0.00362246692314172
"51","2001-06-12",0.0038796265519665,0.00541043123153884
"52","2001-06-13",-0.00875086510116097,0.00895217667854586
"53","2001-06-14",-0.00981314622171325,-0.0125557805640018
"54","2001-06-15",-0.0169076761821501,-0.0145456962659645
"55","2001-06-18",-0.0121089358175455,0.00183069792340151
"56","2001-06-19",-0.00203239376335684,-0.00183069792340151
"57","2001-06-20",-0.00203653280134852,0.0091164019967398
